Player,Team,Pos,Injury,Status,Est. Return
Marc Church,TEX,P,Shoulder,60-Day IL,Subscribers Only
Adam Cimber,LAA,P,Shoulder,15-Day IL,Subscribers Only
Jose Cisnero,LAA,P,Shoulder,60-Day IL,Subscribers Only
Mike Clevinger,CWS,P,Elbow,15-Day IL,Subscribers Only
Alex Cobb,SF,P,Hip,60-Day IL,Subscribers Only
Carson Coleman,TEX,P,Elbow,60-Day IL,Subscribers Only
Billy Cook,BAL,2B,Hamstring,7-Day IL,Subscribers Only
Jose Corniell,TEX,P,Elbow,7-Day IL,Subscribers Only
Tom Cosgrove,SD,P,Elbow,15-Day IL,Subscribers Only
Danny Coulombe,BAL,P,Elbow,15-Day IL,Subscribers Only
Dylan Covey,PHI,P,Shoulder,60-Day IL,Subscribers Only
Jackson Cox,COL,P,Elbow,60-Day IL,Subscribers Only
Kyle Crick,NYM,P,Calf,60-Day IL,Subscribers Only
Coleman Crow,MIL,P,Elbow,60-Day IL,Subscribers Only
C.J. Culpepper,MIN,P,Forearm,7-Day IL,Subscribers Only
Zach Daniels,HOU,OF,Undisclosed,60-Day IL,Subscribers Only
Hagen Danner,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Yu Darvish,SD,P,Personal,Out,Subscribers Only
Brennen Davis,CHC,OF,Back,7-Day IL,Subscribers Only
Danny De Andrade,MIN,SS,Ankle,60-Day IL,Subscribers Only
Angel De Jesus,FA,P,Elbow,Out,Subscribers Only
Jose De Leon,FA,P,Elbow,Out,Subscribers Only
Luis De Los Santos,TOR,3B,Undisclosed,7-Day IL,Subscribers Only
Jacob deGrom,TEX,P,Elbow,60-Day IL,Subscribers Only
Miguel Del Pozo,FA,P,Elbow,Out,Subscribers Only
Chase DeLauter,CLE,OF,Toe,7-Day IL,Subscribers Only
Noah Denoyer,BAL,P,Elbow,60-Day IL,Subscribers Only
Anthony DeSclafani,MIN,P,Elbow,60-Day IL,Subscribers Only
Mishael Deson,BAL,OF,Back,Out,Subscribers Only
Nolan DeVos,HOU,P,Undisclosed,60-Day IL,Subscribers Only
Yusniel Diaz,SF,OF,Undisclosed,7-Day IL,Subscribers Only
Taylor Dollard,SEA,P,Shoulder,60-Day IL,Subscribers Only
Jasson Dominguez,NYY,OF,Oblique,7-Day IL,Subscribers Only
Daniel Duarte,MIN,P,Elbow,60-Day IL,Subscribers Only
Justin Dunn,FA,P,Shoulder,Out,Subscribers Only
Oliver Dunn,MIL,2B,Back,10-Day IL,Subscribers Only
Dane Dunning,TEX,P,Shoulder,15-Day IL,Subscribers Only
Caleb Durbin,NYY,2B,Hand,60-Day IL,Subscribers Only
Ty Duvall,SEA,C,Undisclosed,60-Day IL,Subscribers Only
Tommy Edman,STL,2B,Wrist,60-Day IL,Subscribers Only
Scott Effross,NYY,P,Back,60-Day IL,Subscribers Only
Stevie Emanuels,OAK,P,Undisclosed,7-Day IL,Subscribers Only
Colt Emerson,SEA,SS,Foot,7-Day IL,Subscribers Only
