Player,Team,Pos,Injury,Status,Est. Return
J.T. Realmuto,PHI,C,Knee,10-Day IL,Subscribers Only
Sean Reid-Foley,NYM,P,Shoulder,15-Day IL,Subscribers Only
Jacob Reimer,NYM,3B,Hamstring,60-Day IL,Subscribers Only
Luis Rengifo,LAA,2B,Wrist,10-Day IL,Subscribers Only
Gabriel Rincones,PHI,OF,Thumb,7-Day IL,Subscribers Only
Alberto Rios,LAA,3B,Undisclosed,60-Day IL,Subscribers Only
JR Ritchie,ATL,P,Elbow,60-Day IL,Subscribers Only
Anthony Rizzo,NYY,1B,Forearm,60-Day IL,Subscribers Only
Dalton Roach,CWS,P,Undisclosed,7-Day IL,Subscribers Only
Errol Robinson,BAL,SS,Oblique,7-Day IL,Subscribers Only
Hayden Robinson,MIL,P,Elbow,7-Day IL,Subscribers Only
Tekoah Roby,STL,P,Undisclosed,7-Day IL,Subscribers Only
Kumar Rocker,TEX,P,Elbow,60-Day IL,Subscribers Only
Eduardo Rodriguez,ARI,P,Shoulder,60-Day IL,Subscribers Only
Emmanuel Rodriguez,MIN,OF,Thumb,7-Day IL,Subscribers Only
Endy Rodriguez,PIT,C,Elbow,60-Day IL,Subscribers Only
Jose Rodriguez,PHI,2B,Suspension,Suspension,Subscribers Only
Jose Rodriguez,MIN,OF,Thumb,60-Day IL,Subscribers Only
Josh Rogers,COL,P,Shoulder,15-Day IL,Subscribers Only
Drew Rom,STL,P,Shoulder,60-Day IL,Subscribers Only
Jordan Romano,TOR,P,Elbow,15-Day IL,Subscribers Only
Kala'i Rosario,MIN,OF,Elbow,60-Day IL,Subscribers Only
Trevor Rosenthal,FA,P,Elbow,Out,Subscribers Only
Joe Ross,MIL,P,Back,60-Day IL,Subscribers Only
Michael Rucker,PHI,P,Hand,60-Day IL,Subscribers Only
Carson Rucker,DET,3B,Shoulder,60-Day IL,Subscribers Only
Jaden Rudd,TOR,OF,Undisclosed,7-Day IL,Subscribers Only
Esteury Ruiz,OAK,OF,Wrist,10-Day IL,Subscribers Only
Andrew Saalfrank,ARI,P,Suspension,Suspension,Subscribers Only
Dustin Saenz,WSH,P,Undisclosed,7-Day IL,Subscribers Only
Royber Salinas,OAK,P,Undisclosed,7-Day IL,Subscribers Only
Gary Sanchez,MIL,C,Calf,10-Day IL,Subscribers Only
Sixto Sanchez,MIA,P,Shoulder,60-Day IL,Subscribers Only
Bryan Sanchez,WSH,P,Undisclosed,7-Day IL,Subscribers Only
Carlos Sanchez,CIN,3B,Undisclosed,7-Day IL,Subscribers Only
Franklin Sanchez,MIA,P,Undisclosed,60-Day IL,Subscribers Only
Patrick Sandoval,LAA,P,Elbow,60-Day IL,Subscribers Only
Reiver Sanmartin,CIN,P,Elbow,Out,Subscribers Only
Dahian Santos,TOR,P,Elbow,60-Day IL,Subscribers Only
Dangelo Sarmiento,NYM,SS,Undisclosed,7-Day IL,Subscribers Only
Clarke Schmidt,NYY,P,Lat,60-Day IL,Subscribers Only
Jesse Scholtens,CWS,P,Elbow,60-Day IL,Subscribers Only
Andre Scrubb,NYM,P,Undisclosed,60-Day IL,Subscribers Only
Kodai Senga,NYM,P,Shoulder,60-Day IL,Subscribers Only
Antonio Senzatela,COL,P,Elbow,60-Day IL,Subscribers Only
Reese Sharp,BAL,P,Elbow,60-Day IL,Subscribers Only
Emmet Sheehan,LAD,P,Elbow,60-Day IL,Subscribers Only
Braden Shewmake,CWS,SS,Undisclosed,7-Day IL,Subscribers Only
Jun-Seok Shim,PIT,P,Shoulder,60-Day IL,Subscribers Only
Kohl Simas,CWS,P,Undisclosed,60-Day IL,Subscribers Only
Liam Simon,SF,P,Undisclosed,60-Day IL,Subscribers Only
Josh Simpson,MIA,P,Elbow,60-Day IL,Subscribers Only
Ethan Small,SF,P,Oblique,60-Day IL,Subscribers Only
Drew Smith,NYM,P,Elbow,60-Day IL,Subscribers Only
Dylan Smith,DET,P,Undisclosed,7-Day IL,Subscribers Only
D'Andre Smith,NYM,SS,Undisclosed,60-Day IL,Subscribers Only
Brady Smith,LAD,P,Undisclosed,60-Day IL,Subscribers Only
Nick Snyder,PHI,P,Undisclosed,60-Day IL,Subscribers Only
Tyler Soderstrom,OAK,DH,Wrist,10-Day IL,Subscribers Only
Jairo Solis,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Noah Song,BOS,P,Elbow,60-Day IL,Subscribers Only
Andres Sosa,TOR,C,Undisclosed,7-Day IL,Subscribers Only
Thomas Sosa,BAL,OF,Shoulder,7-Day IL,Subscribers Only
Bennett Sousa,HOU,P,Shoulder,60-Day IL,Subscribers Only
Gabe Speier,SEA,P,Shoulder,15-Day IL,Subscribers Only
Jeffrey Springs,TB,P,Elbow,60-Day IL,Subscribers Only
Giancarlo Stanton,NYY,OF,Hamstring,10-Day IL,Subscribers Only
Max Stassi,CWS,C,Hip,60-Day IL,Subscribers Only
Trevor Stephan,CLE,P,Elbow,60-Day IL,Subscribers Only
Robert Stephenson,LAA,P,Elbow,60-Day IL,Subscribers Only
Brock Stewart,MIN,P,Shoulder,60-Day IL,Subscribers Only
Jonathan Stiever,CWS,P,Undisclosed,60-Day IL,Subscribers Only
Trevor Story,BOS,SS,Shoulder,60-Day IL,Subscribers Only
Hunter Stratton,PIT,P,Triceps,15-Day IL,Subscribers Only
Spencer Strider,ATL,P,Elbow,60-Day IL,Subscribers Only
Ross Stripling,OAK,P,Elbow,15-Day IL,Subscribers Only
Michael Stryffeler,SF,P,Undisclosed,60-Day IL,Subscribers Only
Adrian Sugastey,SF,C,Undisclosed,7-Day IL,Subscribers Only
Thomas Szapucki,SF,P,Pectoral,60-Day IL,Subscribers Only
Fernando Tatis,SD,OF,Quadriceps,10-Day IL,Subscribers Only
Mike Tauchman,CHC,OF,Groin,10-Day IL,Subscribers Only
Ambioris Tavarez,ATL,3B,Undisclosed,7-Day IL,Subscribers Only
Josh Taylor,KC,P,Biceps,60-Day IL,Subscribers Only
Andrew Taylor,HOU,P,Undisclosed,60-Day IL,Subscribers Only
Mason Thompson,WSH,P,Elbow,60-Day IL,Subscribers Only
Keegan Thompson,CHC,P,Ribs,15-Day IL,Subscribers Only
Zack Thompson,STL,P,Undisclosed,7-Day IL,Subscribers Only
Zach Thornton,NYM,P,Undisclosed,7-Day IL,Subscribers Only
Ricky Tiedemann,TOR,P,Forearm,Out,Subscribers Only
Andrew Toles,LAD,OF,Personal,Out,Subscribers Only
Justin Topa,MIN,P,Knee,60-Day IL,Subscribers Only
Abraham Toro,OAK,3B,Hamstring,10-Day IL,Subscribers Only
Lou Trivino,NYY,P,Elbow,60-Day IL,Subscribers Only
Mike Trout,LAA,OF,Knee,10-Day IL,Subscribers Only
Kyle Tucker,HOU,OF,Lower Leg,10-Day IL,Subscribers Only
Spencer Turnbull,PHI,P,Lat,15-Day IL,Subscribers Only
Cole Turney,DET,OF,Abdomen,7-Day IL,Subscribers Only
Geison Urbaez,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Abner Uribe,MIL,P,Knee,7-Day IL,Subscribers Only
Jose Urquidy,HOU,P,Elbow,60-Day IL,Subscribers Only
Luis Valdez,TEX,P,Undisclosed,7-Day IL,Subscribers Only
Jordy Vargas,COL,P,Elbow,60-Day IL,Subscribers Only
Daulton Varsho,TOR,OF,Knee,Day-To-Day,Subscribers Only
Felipe Vazquez,PIT,P,Personal,Out,Subscribers Only
Boris Vecerka,ARI,P,Undisclosed,60-Day IL,Subscribers Only
Justin Verlander,HOU,P,Neck,15-Day IL,Subscribers Only
Joey Votto,TOR,1B,Ankle,7-Day IL,Subscribers Only
LaMonte Wade,SF,OF,Hamstring,Day-To-Day,Subscribers Only
Max Wagner,BAL,3B,Back,7-Day IL,Subscribers Only
Jacob Waguespack,TB,P,Shoulder,60-Day IL,Subscribers Only
Cole Waites,SF,P,Elbow,60-Day IL,Subscribers Only
Ken Waldichuk,OAK,P,Elbow,60-Day IL,Subscribers Only
Hurston Waldrep,ATL,P,Elbow,15-Day IL,Subscribers Only
Taijuan Walker,PHI,P,Finger,15-Day IL,Subscribers Only
Cayden Wallace,KC,3B,Oblique,7-Day IL,Subscribers Only
Blake Walston,ARI,P,Elbow,15-Day IL,Subscribers Only
Brandon Walter,BOS,P,Shoulder,60-Day IL,Subscribers Only
TJayy Walton,PHI,OF,Undisclosed,Out,Subscribers Only
Andrew Wantz,LAA,P,Elbow,60-Day IL,Subscribers Only
Austin Warren,SF,P,Elbow,60-Day IL,Subscribers Only
Ryan Weathers,MIA,P,Finger,60-Day IL,Subscribers Only
Nathan Webb,BAL,P,Achilles,60-Day IL,Subscribers Only
Andy Weber,ARI,2B,Undisclosed,60-Day IL,Subscribers Only
Avery Weems,TEX,P,Elbow,60-Day IL,Subscribers Only
Zack Weiss,MIN,P,Shoulder,60-Day IL,Subscribers Only
Tyler Wells,BAL,P,Elbow,60-Day IL,Subscribers Only
Levi Wells,BAL,P,Shoulder,7-Day IL,Subscribers Only
Zack Wheeler,PHI,P,Back,Out,Subscribers Only
Evan White,LAA,1B,Hip,7-Day IL,Subscribers Only
Brendan White,DET,P,Elbow,7-Day IL,Subscribers Only
Garrett Whitlock,BOS,P,Elbow,60-Day IL,Subscribers Only
Jordan Wicks,CHC,P,Oblique,15-Day IL,Subscribers Only
Collin Wiles,TEX,P,Undisclosed,7-Day IL,Subscribers Only
Creed Willems,BAL,C,Hamstring,Day-To-Day,Subscribers Only
Trevor Williams,WSH,P,Elbow,15-Day IL,Subscribers Only
Devin Williams,MIL,P,Back,60-Day IL,Subscribers Only
Case Williams,COL,P,Triceps,60-Day IL,Subscribers Only
Jett Williams,NYM,SS,Wrist,7-Day IL,Subscribers Only
Brandon Williamson,CIN,P,Shoulder,60-Day IL,Subscribers Only
Cole Winn,TEX,P,Shoulder,60-Day IL,Subscribers Only
Keaton Winn,SF,P,Elbow,15-Day IL,Subscribers Only
Bryan Woo,SEA,P,Hamstring,15-Day IL,Subscribers Only
Alex Wood,OAK,P,Shoulder,60-Day IL,Subscribers Only
Brandon Woodruff,MIL,P,Shoulder,60-Day IL,Subscribers Only
Jason Woodward,MIL,P,Elbow,60-Day IL,Subscribers Only
Kyle Wright,KC,P,Shoulder,60-Day IL,Subscribers Only
Joshwan Wright,OAK,2B,Undisclosed,60-Day IL,Subscribers Only
Yoshinobu Yamamoto,LAD,P,Shoulder,15-Day IL,Subscribers Only
Huascar Ynoa,ATL,P,Elbow,60-Day IL,Subscribers Only
Jacob Zibin,CLE,P,Undisclosed,60-Day IL,Subscribers Only
Calvin Ziegler,NYM,P,Elbow,60-Day IL,Subscribers Only
Tyler Zombro,TEX,P,Undisclosed,60-Day IL,Subscribers Only
Nick Zwack,SF,P,Undisclosed,60-Day IL,Subscribers Only
